publicid	eventtype	origintime	modificationtime	longitude	 latitude	 magnitude	 depth	magnitudetype	depthtype	evaluationmethod	evaluationstatus	evaluationmode	earthmodel	usedphasecount	usedstationcount	magnitudestationcount	minimumdistance	azimuthalgap	originerror	magnitudeuncertainty
2017p008677		2017-01-04T05:03:15.829Z	2017-01-04T05:28:38.749Z	175.6933294	-39.46798122	1.931826263	18.828125	M		NonLinLoc		automatic	nz3drx	32	32	12	0.0763428253	69.27503794	0.3608615168	0
2017p008628		2017-01-04T04:37:22.525Z	2017-01-04T04:39:57.171Z	173.6754946	-41.96402056	2.373961102	15.78125	M		NonLinLoc		automatic	nz3drx	20	20	6	0.2901209168	133.2263138	0.5302720438	0
2017p008616		2017-01-04T04:31:05.574Z	2017-01-04T04:32:41.503Z	174.0993425	-41.74617768	2.087069673	27.96875	M		NonLinLoc		automatic	nz3drx	18	18	7	0.0855850754	119.2014214	0.9069472757	0
2017p008601		2017-01-04T04:23:06.565Z	2017-01-04T04:25:23.187Z	175.8642135	-40.62680777	2.10740148	23.046875	M		NonLinLoc		automatic	nz3drx	20	20	12	0.1091419188	51.37565987	0.6238341911	0
2017p008588		2017-01-04T04:15:51.335Z	2017-01-04T04:18:02.335Z	174.1735275	-41.70497775	2.386225977	8.28125	M		NonLinLoc		automatic	nz3drx	22	22	11	0.0544409137	66.81629379	0.5938794903	0
2017p008525		2017-01-04T03:42:09.208Z	2017-01-04T03:43:59.293Z	174.2638493	-41.67926899	1.802896388	13.4375	M		NonLinLoc		automatic	nz3drx	10	10	3	0.2923911501	215.6165777	0.4366479229	0
2017p008489		2017-01-04T03:23:09.658Z	2017-01-04T03:26:13.718Z	174.1407713	-41.71736287	2.679958625	26.09375	M		NonLinLoc		automatic	nz3drx	17	17	7	0.0636111149	91.3942714	0.9999555137	0
2017p008448		2017-01-04T03:01:36.167Z	2017-01-04T03:29:33.656Z	174.7876701	-39.79826226	2.610696734	91.71875	M		NonLinLoc		automatic	nz3drx	38	38	17	0.1581461009	80.09476279	0.9479268229	0
2017p008432		2017-01-04T02:52:44.176Z	2017-01-04T02:54:48.343Z	178.4035998	-38.31526015	2.340647314	20.46875	M		NonLinLoc		automatic	nz3drx	12	12	8	0.236244036	219.5435354	0.3231612201	0
2017p008401		2017-01-04T02:36:29.223Z	2017-01-04T02:38:40.179Z	173.7669696	-42.05346487	2.26962673	19.53125	M		NonLinLoc		automatic	nz3drx	18	18	7	0.347207834	156.2491814	0.6387060479	0
2017p008338		2017-01-04T02:02:36.832Z	2017-01-04T02:04:12.733Z	174.2604077	-41.66081701	1.924020249	27.03125	M		NonLinLoc		automatic	nz3drx	17	17	6	0.096782281	118.671297	0.792959648	0
2017p008256		2017-01-04T01:19:08.933Z	2017-01-04T01:21:08.203Z	173.4094594	-42.45691127	2.198857474	17.65625	M		NonLinLoc		automatic	nz3drx	12	12	6	0.1041796598	136.9386189	0.695479731	0
2017p008241		2017-01-04T01:10:55.306Z	2017-01-04T01:32:01.292Z	175.3264195	-38.51551742	3.0057366	50.9375	M		NonLinLoc		automatic	nz3drx	13	13	11	0.3679870193	145.7253202	1.470939602	0
2017p008157		2017-01-04T00:26:16.366Z	2017-01-04T00:28:08.306Z	177.4528495	-37.76114796	2.326589259	71.5625	M		NonLinLoc		automatic	nz3drx	16	16	8	0.2612627458	114.3613627	0.9805973708	0
2017p008132		2017-01-04T00:13:13.239Z	2017-01-04T00:15:25.437Z	173.6821686	-42.23621375	2.461905167	13.4375	M		NonLinLoc		automatic	nz3drx	10	10	7	0.2092473761	186.8440536	0.5507640165	0
2017p008131		2017-01-04T00:12:24.196Z	2017-01-04T00:14:12.900Z	176.1783795	-38.43960887	1.900772294	5.8203125	M		NonLinLoc		automatic	nz3drx	17	17	8	0.0814775932	70.69247544	0.381428708	0
2017p008078		2017-01-03T23:44:14.383Z	2017-01-03T23:49:14.159Z	174.222882	-41.87158741	3.581946112	17.1875	M		NonLinLoc		automatic	nz3drx	68	68	44	0.1209631937	143.4693373	1.854684671	0
2017p008075		2017-01-03T23:42:34.495Z	2017-01-03T23:49:01.713Z	173.3267102	-42.42780599	3.12835964	21.40625	M		NonLinLoc		automatic	nz3drx	22	22	11	0.1571850467	102.9880268	0.7897578407	0
2017p008054		2017-01-03T23:31:37.787Z	2017-01-03T23:33:28.921Z	174.6674613	-41.01226042	1.884192616	34.53125	M		NonLinLoc		automatic	nz3drx	13	13	9	0.2389069526	120.802847	0.2067970132	0
2017p008034		2017-01-03T23:20:41.600Z	2017-01-03T23:22:49.795Z	173.0421414	-42.26263766	2.351480933	22.34375	M		NonLinLoc		automatic	nz3drx	13	13	1	0.3974355587	78.32201399	0.5775628513	0
2017p008030		2017-01-03T23:18:36.959Z	2017-01-03T23:19:29.922Z	175.3950161	-39.13752163	1.177378573	5.1171875	M		NonLinLoc		automatic	nz3drx	11	11	6	0.0738689087	193.0491233	0.2855577255	0
2017p008004		2017-01-03T23:04:47.891Z	2017-01-03T23:06:50.958Z	173.0789231	-42.34049014	2.369456358	12.96875	M		NonLinLoc		automatic	nz3drx	13	13	5	0.3478149965	90.17730706	0.5218039964	0
2017p007993		2017-01-03T22:59:02.782Z	2017-01-03T23:02:39.552Z	173.5935911	-42.40051065	3.030165315	22.8125	M		NonLinLoc		automatic	nz3drx	40	40	24	0.0432693604	140.2255275	1.057094449	0
